movie_id,person_id,person_name,character,order
969681,1136406,Tom Holland,Peter Parker / Spider-Man,0
969681,505710,Zendaya,MJ,1
969681,103,Mark Ruffalo,Bruce Banner / Hulk,2
969681,19498,Jon Bernthal,Frank Castle / Punisher,3
969681,1649152,Jacob Batalon,Ned Leeds,4
1204680,62831,Will Forte,Kevin Avery,0
1204680,1452046,Lana Condor,Paige Avery,1
1204680,56446,John Cena,Buddy Crane,2
1204680,1120700,Tone Bell,Sal Maltese,3
1204680,1572541,Martha Kelly,Dottie Jones,4
1101383,1813,Anne Hathaway,Denise Platt,0
1101383,3061,Ewan McGregor,Greg Platt,1
1101383,1104567,Maisy Stella,Audrey Platt,2
1101383,1721268,Christian Convery,Brian Platt,3
1101383,1900828,Jordan Alexa Davis,Jeannette Christiansen,4
1368337,1892,Matt Damon,Odysseus,0
1368337,1136406,Tom Holland,Telemachus,1
1368337,1813,Anne Hathaway,Penelope,2
1368337,11288,Robert Pattinson,Antinous,3
1368337,1227717,Himesh Patel,Eurylochus,4
1375646,63436,Gianna Jun,Kwon Se-jeong,0
1375646,1096458,Koo Kyo-hwan,Seo Young-cheol,1
1375646,1253391,Ji Chang-wook,Choi Hyun-seok,2
1375646,3038410,Kim Shin-rock,Choi Hyun-hee,3
1375646,1254975,Shin Hyun-been,Kong Seol-hee,4
1294189,3896,Liam Neeson,Ryan 'Fang' Flanagan,0
1294189,3141,Marisa Tomei,Tara,1
1294189,10182,Ving Rhames,Tanker,2
1294189,19654,Michael Chiklis,Major Walter Pope,3
1294189,1224188,Brett Tucker,Todd,4
1288445,976,Jason Statham,Cole Reed,0
1288445,82809,Annabelle Wallis,Angie Ellis,1
1288445,141876,Roland Møller,Captain Marko Madsen,2
1288445,178622,Ramon Tikaram,Tibu Campallo,3
1288445,1156305,Arnas Fedaravičius,Mateo Pineda,4
264980,29541,Sybil Danning,Andrea,0
264980,558650,Michael Cromer,Rolf,1
264980,577817,Marlène Appelt,Susan,2
264980,2702181,Katja Büchele,Vera,3
264980,1283485,Ulla Kopa,Ann Marie,4
1108427,4247263,Catherine Lagaʻaia,Moana,0
1108427,18918,Dwayne Johnson,Maui,1
1108427,7241,Rena Owen,Gramma Tala,2
1108427,205406,John Tui,Chief Tui,3
1108427,1753341,Frankie Adams,Sina,4
1423191,148992,Austin Abrams,Bryan,0
1423191,1838225,Zach Cherry,Dave,1
1423191,3119545,Kali Reis,Pauline,2
1423191,1294982,Paul Walter Hauser,Carl,3
1423191,1169291,Johnno Wilson,Max,4
1440098,2025252,Ester Expósito,Marfil,0
1440098,1720509,Hugo Diego Garcia,Sebastian,1
1440098,1209572,Pablo Molinero,Alejandro Cortés,2
1440098,1604,Lluís Homar,Logan,3
1440098,1691348,Joaquín Ferreira,Ray,4
30723,43774,Daniel Roebuck,Rex,0
30723,104289,Cynthia Thompson,Eba,1
30723,1062452,Darren Young,Dar,2
30723,106855,Saba Moor-Doucette,Saba,3
30723,106856,Jeff Chayette,Argh,4
1482547,57578,MyAnna Buring,Amy Watson,0
1482547,1190069,Joseph Millson,Evan,1
1482547,9825,Saffron Burrows,Donaldson,2
1482547,1477555,Michael Amariah,Robert,3
1482547,3471358,Silvia Presente,Chloe,4
1285366,84725,Keisuke Koide,Henmi Takashi,0
1285366,4620053,Kei Fubuki,Yokozawa Satomi,1
1285366,3465682,Manami Shindo,Yurina,2
1285366,1078683,Yohta Kawase,,3
1285366,107114,Kotaro Tanaka,[Gay bar owner],4
1386315,90633,Gal Gadot,Maia,0
1386315,20186,Damian Lewis,The Caller,1
1386315,5018970,Rory Wilmot,Noah,2
1386315,234923,Alfred Enoch,Ted,3
1386315,2967026,Phoenix Di Sebastiani,Tafa,4
1408162,85720,Suriya,Sanjay 'Sanju' Vishwanath,0
1408162,2191938,Mamitha Baiju,Madanakameshwari 'Maddy Jay' Jothilingam,1
1408162,562177,Radhika Sarathkumar,Nirmala Devi,2
1408162,123180,Raveena Tandon,Anjali Devi,3
1408162,2261843,Sunil,Ramu,4
1393326,1203378,Abimana Aryasatya,Anggoro Ramadhani,0
1393326,562217,Bront Palarae,Jefry Hutama,1
1393326,2207948,Dimas Danang,Irfan Hamdani,2
1393326,581687,Endy Arfian,Dimas Kurnia,3
1393326,1206436,Lukman Sardi,Pendi Mulia,4
1137844,10859,Ryan Reynolds,Troy Kelly,0
1137844,11181,Kenneth Branagh,Nikolai Ustinov,1
1137844,591295,Marcin Dorociński,Alexander Volkov,2
1137844,2408703,Maria Bakalova,Anna Ustinov,3
1137844,52,David Morse,Harold Kelly,4
1084244,3234,Joan Cusack,Jessie (voice),0
1084244,31,Tom Hanks,Woody (voice),1
1084244,12898,Tim Allen,Buzz Lightyear (voice),2
1084244,81200,Conan O'Brien,Smarty Pants (voice),3
1084244,5374940,Scarlett Spears,Bonnie (voice),4
1339713,1561370,Michael Johnston,Bear,0
1339713,2638587,Inde Navarrette,Nikki,1
1339713,2823609,Cooper Tomlinson,Ian,2
1339713,1519711,Megan Lawless,Sarah,3
1339713,28637,Andy Richter,Carter,4
