movie_id,genre_id
969681,878
969681,28
969681,12
1423191,27
1423191,878
1423191,12
1101383,878
1101383,9648
1101383,53
1204680,35
1204680,12
1204680,10751
1368337,12
1368337,28
1368337,14
1375646,28
1375646,27
1375646,878
1294189,28
1294189,53
1288445,28
1288445,53
1108427,10751
1108427,14
1108427,35
1108427,12
1285366,10749
1482547,28
1482547,53
1440098,10749
1440098,53
1084244,16
1084244,10751
1084244,35
1084244,12
1386315,53
1386315,28
1339713,27
1339713,53
1408162,18
1408162,10749
1408162,35
1232569,27
1232569,14
1232569,9648
1315772,12
1315772,16
1315772,35
1315772,10751
1315772,14
44980,28
44980,53
1323244,28
1323244,878
1323244,53
1137844,28
1137844,35
1393326,27
1393326,35
1393326,53
1469930,27
1469930,53
1516698,10749
1516698,18
1185806,16
1185806,12
1185806,10751
1185806,14
1185806,35
1621552,80
1621552,28
1621552,53
1506560,10770
1506560,10751
1506560,28
1058424,878
1058424,9648
1058424,28
687163,878
687163,12
755898,878
755898,53
1127384,27
1127384,53
1127384,12
1275779,878
1275779,53
980431,16
980431,12
980431,14
980431,28
1083381,27
1083381,9648
1083381,878
299534,12
299534,878
299534,28
299536,12
299536,28
299536,878
1130948,35
1130948,18
1130948,53
1599993,35
1599993,53
1228710,28
1228710,12
1228710,878
264980,35
1419406,28
1419406,80
1419406,18
1419406,53
6435,10749
6435,14
6435,35
1084242,16
1084242,12
1084242,35
1084242,9648
1084242,10751
278,18
278,80
1228834,28
1228834,53
1514682,53
1514682,80
1224993,27
1224993,9648
1224993,53
1224993,18
1560520,16
1560520,28
1560520,12
1560520,878
83533,878
83533,12
83533,14
1318467,27
1318467,9648
1318467,53
1641629,10749
1641629,18
860508,80
860508,18
860508,53
1081003,28
1081003,12
1081003,878
1405742,35
1405742,27
157336,12
157336,18
157336,878
1101412,53
1301421,35
1301421,10751
1301421,9648
1302904,10749
1302904,14
1302904,35
24428,878
24428,28
24428,12
634649,28
634649,12
634649,878
1273221,35
1311031,16
1311031,28
1311031,14
238,18
238,80
1184918,10751
1184918,16
1184918,878
1184918,12
813418,878
813418,28
813418,80
813418,14
813418,53
155,28
155,53
155,80
1377237,28
1377237,35
1377237,53
76341,28
76341,12
76341,878
1180894,27
1240889,35
1240889,27
1240889,10749
27205,28
27205,878
27205,12
1226863,10751
1226863,35
1226863,12
1226863,14
1226863,16
218,28
218,53
218,878
19995,878
19995,28
19995,12
533535,28
533535,35
533535,878
1641580,878
1212763,27
671,12
671,14
1284465,12
1284465,18
1284465,28
936075,10402
936075,18
872585,18
872585,36
1656489,18
1656489,10402
1594914,28
1594914,10752
1234821,878
1234821,12
1234821,28
1280738,28
1280738,80
1280738,53
1288059,35
822119,28
822119,53
822119,878
693134,878
693134,12
569094,16
569094,28
569094,12
569094,878
460458,28
460458,27
460458,878
1386238,27
454639,28
454639,14
454639,878
120,12
120,14
120,28
1723013,18
603,28
603,878
122,12
122,14
122,28
1514863,35
1327819,12
1327819,16
1327819,35
1327819,10751
1327819,878
414906,80
414906,9648
414906,53
