movie_id,language_code
969681,en
1423191,en
1101383,en
1204680,en
1368337,en
1375646,ko
1294189,en
1288445,en
1108427,en
1285366,ja
1482547,en
1440098,es
1084244,en
1084244,es
1084244,de
1339713,en
1408162,ta
1408162,te
1232569,en
1315772,en
1315772,es
44980,ja
1137844,en
1137844,ru
1393326,id
1469930,id
1516698,en
1185806,en
1621552,pt
1621552,es
1506560,en
1058424,ko
687163,zh
687163,en
687163,ja
687163,ru
687163,es
755898,en
1127384,en
1127384,zh
1275779,en
1275779,ru
1275779,ko
980431,en
1083381,en
299534,en
299534,ja
299534,xh
299536,en
299536,xh
1130948,en
1599993,es
1228710,en
1228710,ay
264980,de
1419406,zh
6435,en
1084242,en
278,en
1228834,ar
1228834,en
1514682,en
1224993,ko
1224993,it
1224993,la
1560520,en
83533,en
1318467,en
1641629,fr
860508,en
1081003,en
1301421,en
1405742,en
157336,en
1101412,en
1302904,en
24428,en
24428,hi
24428,ru
634649,en
634649,tl
1273221,en
1273221,ko
1273221,pt
1273221,es
1311031,ja
238,en
238,it
238,la
1184918,en
813418,en
813418,fr
813418,pl
155,en
155,zh
1377237,en
1377237,pt
76341,en
1180894,es
1240889,en
27205,en
27205,fr
27205,ja
27205,sw
1226863,en
218,en
218,es
19995,en
19995,es
533535,en
1641580,en
1212763,en
1212763,fr
671,en
1284465,en
872585,nl
872585,en
1656489,tr
1594914,en
1234821,en
1234821,fr
1280738,en
1280738,id
1280738,zh
1280738,tl
1280738,th
1288059,en
822119,en
822119,ja
822119,es
693134,en
569094,en
569094,hi
569094,it
569094,es
460458,en
1386238,es
454639,en
120,en
1723013,tl
603,en
122,en
1641580,en
1327819,en
414906,en
1124142,en
550,en
1451944,hi
863,en
1314481,en
1314481,it
150540,en
335984,en
335984,fi
335984,hu
335984,ja
335984,ru
335984,so
335984,es
20352,en
1291595,en
447273,en
1061474,en
1061474,es
1061474,hr
49026,en
324857,en
324857,ja
324857,es
1368166,en
438631,en
1439930,en
30723,en
315635,en
1290821,en
1007757,en
680,en
680,es
680,fr
557,en
1110034,no
13,en
1523145,ru
10138,en
10138,ru
10138,fr
911430,da
911430,en
911430,de
911430,es
1514863,en
76600,en
1329016,en
1384216,en
205596,en
673,en
8587,en
198663,en
447365,en
672,en
361743,en
597,en
597,fr
597,de
597,sv
597,it
597,ru
1304313,ar
1304313,en
1304313,es
58,en
58,tr
58,el
58,zh
12445,en
502356,en
1003596,en
1433367,en
177572,en
674,en
674,fr
1726,en
1726,fa
1726,ur
1726,ar
1122573,en
1122573,es
585,en
1010581,es
129,ja
803796,en
803796,ko
354912,en
354912,es
105,en
617126,fr
617126,uz
617126,en
22,en
767,en
12,en
931285,en
933260,en
1297842,en
1265609,en
862,en
26827,en
912649,en
912649,es
1241982,en
269149,en
99861,en
271110,ro
271110,en
271110,de
271110,ru
1087192,en
1685882,ta
156022,en
1727780,en
1727780,la
14836,en
350,en
350,fr
98,en
497,fr
497,en
1022789,en
575265,en
575265,fr
575265,iu
575265,ru
16869,de
16869,en
16869,fr
16869,it
121,en
1930,en
10588,en
559,en
559,fr
950387,en
315162,en
315162,es
475557,en
138843,en
1564614,en
1078605,en
807,en
496243,en
496243,de
496243,ko
4935,ja
808,en
986056,en
986056,it
986056,ru
1698863,en
68718,en
68718,fr
68718,de
1171145,en
122917,en
466272,en
466272,it
466272,es
