local_uri,tmdb_id,imdb_id,title,release_date,wikidata_uri,wikidata_label,wikidata_release_date,dbpedia_uri,search_method,matched_by,score,status
https://example.org/movie/1058424,1058424,tt27369017,Hope,07-15-26,http://www.wikidata.org/entity/Q117429496,Hope,05-17-26,http://dbpedia.org/resource/Hope_(2026_film),identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/1081003,1081003,tt8814476,Supergirl,06-24-26,http://www.wikidata.org/entity/Q116921951,Supergirl,06-22-26,http://dbpedia.org/resource/Supergirl_(2026_film),identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/1083381,1083381,tt26657236,Backrooms,05-27-26,http://www.wikidata.org/entity/Q125131076,Backrooms,05-07-26,http://dbpedia.org/resource/Backrooms_(film),identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/1084242,1084242,tt26443597,Zootopia 2,11-26-25,http://www.wikidata.org/entity/Q116764712,Zootopia 2,11-13-25,http://dbpedia.org/resource/Zootopia_2,identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/1084244,1084244,tt29355505,Toy Story 5,06-17-26,http://www.wikidata.org/entity/Q113641997,Toy Story 5,06-09-26,http://dbpedia.org/resource/Toy_Story_5,identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/1101383,1101383,tt27165187,The End of Oak Street,08-12-26,http://www.wikidata.org/entity/Q124804916,The End of Oak Street,08-09-26,http://dbpedia.org/resource/The_End_of_Oak_Street,identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/1101412,1101412,tt31192372,Fall 2: Deadpoint,09-01-26,http://www.wikidata.org/entity/Q136388712,Fall 2: Deadpoint,09-02-26,http://dbpedia.org/resource/Fall_2:_Deadpoint,identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/1108427,1108427,tt27419466,Moana,07-08-26,http://www.wikidata.org/entity/Q118996994,Moana,07-08-26,http://dbpedia.org/resource/Moana_(2026_film),identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/1127384,1127384,tt29516222,Deep Water,04-30-26,http://www.wikidata.org/entity/Q124526427,Deep Water,04-10-26,http://dbpedia.org/resource/Deep_Water_(2026_film),identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/1130948,1130948,tt27844906,Rosebush Pruning,04-23-26,http://www.wikidata.org/entity/Q130369934,Rosebush Pruning,02-14-26,http://dbpedia.org/resource/Rosebush_Pruning,identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/1137844,1137844,tt28014327,Mayday,09-03-26,http://www.wikidata.org/entity/Q124743667,Mayday,09-04-26,http://dbpedia.org/resource/Mayday_(2026_film),identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/1184918,1184918,tt29623480,The Wild Robot,09-12-24,http://www.wikidata.org/entity/Q124378349,The Wild Robot,09-26-24,http://dbpedia.org/resource/The_Wild_Robot,identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/1185806,1185806,tt29356163,PAW Patrol: The Dino Movie,07-23-26,http://www.wikidata.org/entity/Q132802215,Paw Patrol: The Dino Movie,07-24-26,http://dbpedia.org/resource/Paw_Patrol:_The_Dino_Movie,identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/120,120,tt0120737,The Lord of the Rings: The Fellowship of the Ring,12-18-01,http://www.wikidata.org/entity/Q127367,The Lord of the Rings: The Fellowship of the Ring,12-19-01,http://dbpedia.org/resource/The_Lord_of_the_Rings:_The_Fellowship_of_the_Ring,identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/1204680,1204680,tt1756855,Coyote vs. Acme,08-20-26,http://www.wikidata.org/entity/Q106392679,Coyote vs. Acme,07-25-26,http://dbpedia.org/resource/Coyote_vs._Acme,identifier,tmdb_id+imdb_id+release_year,1.00,approved
